Feat,Description,Book,Str,Con,Dex,Int,Wis,Cha,Level,Race,Race2,Class,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Initiative,Speed,Surge Value,AC,Fortitude,Reflex,Will
Razorclaw Mark,"While under Razorclaw Shifting power, marked penalty is -3",MP2,,,,,,,,"Shifter, Razorclaw",,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Redoubled Efforts,"When using second wind, can forego defense bonus for +2 attack",MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilience of Stone,Can use second wind as imm. Interrupt when damaged,MP2,,,,,,,,Dwarf,,,,,,,,,,,,,,,,,,,,,,,,,,
Risky Shift,"Can shift 1 add'l square, but grant CA",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Rumbling Earthshock,Earthshock deals add'l 0 damage,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savage Wolf,"Beast gets +2 saves, move indep. w/in 10, melee basic hit knocks prone",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Second Shot,Can designate second nearest enemy as quarry,MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Shared Memories,Can expend Memory of 1000 Lifetimes for adj. ally,MP2,,,,,,,,Deva,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Shifting Companion,Beast companion also benefits from shifting power,MP2,,,,,,,,"Shifter, Longtooth","Shifter, Razorclaw",Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Snapping Lizard,"Beast gets +2 saves, move indep. w/in 10, melee basic hit takes 5 extra if moves away",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Speed of Sea and Sky,"When using Swiftcurrent or Windwalker, each ally w/in 5 gains +2 speed",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Staggering Strike,Can forego one die of Quarry damage to push enemy 1,MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Startling Distraction,"When using Ghost Sound, roll Stealth twice",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Swift Footwork,Can shift 2 extra when using martial encounter or daily,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telepathic Mark,"When you score crit w/ fighter power, can mark each enemy in telepathy range",MP2,,,,,,,,Kalashtar,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Treetop Sniper,Can use bow with Sneak Attack or any crossbow power,MP2,,,,,,,,Elf,Half-Elf,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Trickster's Mark,Can use Ghost Sound as minor to mark one enemy w/in 10,MP2,,,,,,,,Gnome,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Training,Gain low-light vision,MP2,,,,,,,,Human,Half-Elf,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Venomous Spider,"Beast gets +2 saves, move indep. w/in 10, melee basic hit slows, -2 attack roll",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Versatile Talent,Benefit from both One-Handed and Two-Handed Weapon Talent,MP2,,,,,,,,Human,Half-Elf,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Warforged Superiority,"On hit with opportunity attack, knock prone",MP2,,,,,,,,Warforged,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Warpath Leader,Any ally w/in 5 gains +2 to speed when charging,MP2,,,,,,,,Half-Orc,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Wrenching Grasp,"When you miss enemy w/ grab, deal 0 damage",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Agile Command,Ally starting next to you gets +2 AC/Reflex against opp. attacks,MP2,,,,15,,,11,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Avalanche Reaver,"On charge, can push one square and enter left space",MP2,,,,,,,11,Goliath,,,,,,,,,,,,,,,,,,,,,,,,,,
Bestial Death Strike,"Beast gains +1 to attack when bloodied, on drop free melee basic",MP2,,,,,,,11,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Brutal Bludgeon,Club or mace attacks have brutal 1 property,MP2,,,,,,,11,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Clobbering Brawler,"On crit with unarmed melee basic, target is dazed",MP2,,,,,,,11,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Combat Opportunist,"When ally hits w/ opp. attack, enemy grants CA to you",MP2,,,,,,,11,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Commander's Memory,Can expend Memory of 1000 Lifetimes for ally w/in 10,MP2,,,,,,,11,Deva,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Cragborn Courage,"When you use Inspiring Word, target gains +0 HP",MP2,,13,,,,,11,Goliath,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Crushing Pin,"When grabbed target fails to escape, takes 0 damage",MP2,,,,,,,11,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Deceptive Staff,"On miss with melee basic staff attack, enemy grants CA",MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deft Blade,"When making light blade basic attack, can target AC or Reflex",MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disheartening Ambush,Forego one die of Sneak Attack to gain rattling keyword,MP2,,,,,,,11,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Breath Scoundrel,"On Dragon Breath, can deal Sneak Attack damage to each enemy granting CA",MP2,,,,,,,11,Dragonborn,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Breath Tactician,Can slide one ally in Dragon Breath burst 0 before attack,MP2,,,,13,,,11,Dragonborn,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Recovery,"After second wind, +5 to saving throws",MP2,,,,,,,11,Dwarf,,,,,,,,,,,,,,,,,,,,,,,,,,
Elusive Movement,"When you end at least 3 from start, +1 AC/Reflex",MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expert Sneak,"You have CA against deafened, immobilized, slowed, or weakened targets",MP2,,,,,,,11,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Fading Forces,"When adj. ally takes damage, can use Fade Away on both you and ally",MP2,,,,,,,11,Gnome,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Fearsome Assault,"When you hit two creatures w/ one attack, can use Furious Assault on both",MP2,,,,,,,11,Half-Orc,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Feyborn Strategem,"When hidden, allies have CA when you grant attacks",MP2,,,,,,,11,Gnome,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Feywild Flanker,"When you teleport, one adj. enemy grants CA",MP2,,,,,,,11,Eladrin,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Fight On,Can use Inspiring Word add'l time,MP2,,,,,,,11,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Gliding Beast,"After beast hit w/ melee basic, can shift 1 for free",MP2,,,,,,,11,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Hammer Shock,Hammer melee basic attack gains rattling keyword,MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impaling Spear,Spear melee basic can target AC or Reflex,MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Battlefield Shift,Battlefront Shift targets one add'l character,MP2,,,,,,,11,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Insightful Preparation,Any ally w/in 5 gains +1 to attack rolls against enemies who have not acted,MP2,,,,,,,11,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Lashing Flail,Flail melee basic hit can slide target 1,MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Accuracy,"When using Elven Accuracy, can reroll twice",MP2,,,,,,,11,Elf,Half-Elf,,,,,,,,,,,,,,,,,,,,,,,,,
Piercing Pick,Pick melee basic can target AC or Fort,MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poisonous Beast,"On beast melee basic hit, ongoing 0 poison",MP2,,,,,,,11,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Punishing Axe,"On crit w/ axe, rolls of 1 or 2 on crit dice and high crit dice treated as 3",MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampaging Beast,"On beast melee basic hit, push target 1",MP2,,,,,,,11,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Practice,Can perform martial practices in half the time,MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliable Persistence,"When you miss w/ reliable martial power, +4 bonus to next use against",MP2,,,,,,,11,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Retreat Technique,"When you hit enemy with melee, do not provoke AO from enemy for moving away",MP2,,,,,,,11,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Sneaky Gnome,"When you attack and deal Sneak Attack while invisible, invisibility does not end",MP2,,,,,,,11,Gnome,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Sneaky Opportunity,Opp. attacks w/ light blade deal extra 0d6,MP2,,,,,,,11,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Striking Resurgence,"When using second wind, forego defense bonuses to make melee basic",MP2,,,,,,,11,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Superiority,"When you hit marked enemy w/ opp. attack, target slowed",MP2,,,,,,,11,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Unerring Ambush,"During first round, can roll twice against creature that has not yet acted",MP2,,,,,,,11,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Wicked Blade,Melee basic heavy blade attack gains high crit,MP2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Opportunity,"When you make Combat Challenge attack, adj. ally can make melee basic",MP2,,,,,,,21,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Driven Leadership,"While you are conscious, bloodied allies gain +1 speed",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Dual Challenge,"When you mark enemy w/ Combat Challenge, mark enemy adj. to that enemy",MP2,,,,,,,21,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Enabling Shot,"When you score crit w/ ranged attack, ally can make melee basic for free",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Expert Skirmisher,Bonus to attack rolls from Running Attack is +2,MP2,,,,,,,21,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Fate Favors the Bold,"Attack granted gains +0 damage, move granted gains +0 speed",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Heartening Exploit,"On chosen warlord enc. power hit, any ally who hits gains 0 temp HP",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Learn by Doing,"When granting basic and ally misses, ally gains +2 to next attack roll",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Lingering Illusion,Gain concealment against any Sneak Attack enemy while invisible,MP2,,,,,,,21,Gnome,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Marked Takedown,"When melee attack hits marked enemy that's dazed, immobilized, or stunned, knock prone",MP2,,,,,,,21,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Overwhelming Impact,"When using hammer to hit enemy w/ melee attack that would slow, can daze",MP2,,,,,,,21,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Perceptive Leadership,"While conscious, bloodied allies do not grant CA from being flanked",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Reliable Action,"When ally spend AP and misses on encounter power, power not expended",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Resilient Beast,Beast companion gains +2 to all defenses,MP2,,,,,,,21,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Eyes,"Attacks ignore concealment, penalty for total concealment is -2",MP2,,,,,,,21,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Shared Resources,"When using Inspiring Word, each ally in burst also gains 3 temp HP",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Shift the Field,"Battlefront Shift becomes close burst 5, targets you and allies",MP2,,,,,,,21,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Slashing Storm,Any enemy starting turn adj. to you takes 0 if you hit melee attack last turn,MP2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Breaker,"When you hit rattled creature, creature grants CA",MP2,,,,,,,21,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Versatile Rogue,Gain one additional Rogue Tactics option,MP2,,,,,,,21,Human,Half-Elf,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Agile Brawler,Multiclass Fighter,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravura Leader,Multiclass Warlord,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawling Warrior,Multiclass Fighter,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclone Warrior,Multiclass Fighter,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insightful Leader,Multiclass Warlord,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resourceful Leader,Multiclass Warlord,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirmishing Leader,Multiclass Warlord,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Adept,Multiclass Rogue,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrathful Warrior,Multiclass Fighter,MP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamant Arrow Student,Assoc. power hit: can push target 1,MP2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Adamant Arrow Commander,"Cover enemy dealt 0 damage, assoc. powers are ranged",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Adamant Arrow Hunter,"Cover enemy dealt 0 damage, assoc. powers are ranged",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Arkhosian Fang Student,Assoc. power target on bloodied: +2 to attack roll,MP2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Arkhosian Fang Commander,"On miss w/ enc. Power, +2 attack, assoc. powers can be used for opp.",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Arkhosian Fang Duelist,"On miss w/ enc. Power, +2 attack, assoc. powers can be used w/ charge",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Arkhosian Fang Mauler,"On miss w/ enc. Power, +2 attack, assoc. powers can be used w/ Combat Challenge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Black Hood Student,"Coup de grace deals extra 1[W], assoc. power gives +2 damage to slow, +5 to helpless/immob.",MP2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Black Hood Butcher,"On crit, each adj. enemy takes 0 damage, assoc. powers can be used on Combat Challenge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Black Hood Executioner,"On crit, each adj. enemy takes 0 damage, assoc. powers can be used on opp. attack",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Black Hood Slayer,"On crit, each adj. enemy takes 0 damage, assoc. powers can use Dex instead of Str",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Desert Moon Student,Assoc. power hit on unbloodied: can shift 2,MP2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Desert Moon Skirmisher,"Shift 1 as imm. reaction on miss, can shift 2 before assoc. power",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Desert Moon Swordmaster,"Shift 1 as imm. reaction on miss, can use assoc. power w/ Combat Challenge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Desert Moon Zephyr,"Shift 1 as imm. reaction on miss, can use assoc. power w/ opp. Attack",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Elsir Hammer Student,Assoc. power can attack Reflex instead of AC,MP2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Elsir Hammer Champion,"Can shift 1 when marked enemy or ally shifts, assoc. power can target Reflex",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Elsir Hammer General,"Can shift 1 when marked enemy or ally shifts, hit w/ assoc. power can shift 2",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Elsir Hammer Stalker,"Can shift 1 when marked enemy or ally shifts, assoc. power can shift 2 before",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Harrowing Swarm Student,Assoc. power gains rattling keyword,MP2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Harrowing Swarm Captain,"Do not provoke opp. Attack from target, assoc. powers are ranged",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Harrowing Swarm Scout,"Do not provoke opp. Attack from target, assoc. powers can use bow or crossbow",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Harrowing Swarm Stalker,"Do not provoke opp. Attack from target, assoc. powers are ranged, can use crossbow",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Spear Student,Assoc. power slows,MP2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Hunting Spear Warder,"+2 damage to larger creatures, assoc. power can be used on charge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Spear Skirmisher,"+2 damage to larger creatures, assoc. power can be used on charge",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Spear Chieftain,"+2 damage to larger creatures, assoc. power can be used on charge",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Ironstar Student,Assoc. power on hit on enemy granting CA takes -2 to attack,MP2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Ironstar Bravo,"On crit, enemy grants CA to you, assoc. power can be used on charge",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Ironstar Crusher,"On crit, enemy pushed 1, assoc. power can be used on Combat Challenge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Ironstar Marauder,"On crit, enemy pushed 1, assoc. power can be used on charge",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Kulkor Battlearm Student,Assoc. power on hit on enemy granting CA: +2 damage roll,MP2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Kulkor Battlearm Captain,"On hit w/ martial enc. power, adj. ally gets +2 AC, assoc. power can be used on charge",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Kulkor Battlearm Hunter,"On hit w/ martial enc. power, adj. ally gets +2 AC, assoc. power can be used on charge",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Kulkor Battlearm Rattler,"On hit w/ martial enc. power, adj. ally gets +2 AC, assoc. power can be used as opp. Attack",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Kulkor Battlearm Warrior,"On hit w/ martial enc. power, adj. ally gets +2 AC, assoc. power can be used on charge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Runner Student,Assoc. power hit: +1 speed,MP2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Leaf Runner Pathfinder,"Assoc. power ignore cover and concealment, are ranged",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Runner Sneak,"Assoc. power ignore cover and concealment, only -2 penalty for total concealment and superior cover",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Runner Sniper,"Assoc. power ignore cover and concealment, only -2 penalty for total concealment and superior cover",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Longhand Student,Assoc. power hit: push 1 square,MP2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Longhand Bravo,"+1 AC on hit, assoc. power on hit pushes enemy 2",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Longhand Guardian,"+1 AC on hit, assoc. power can be used on opp. Attack",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Midnight Blade Student,Assoc. power can target Reflex instead of AC,MP2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Midnight Blade Brawler,"On hit w/ martial enc. Or daily, +1 shift, assoc. power gains +2 to damage",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Midnight Blade Marauder,"On hit w/ martial enc. Or daily, +1 shift, assoc. power can use Dex instead of Str",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Midnight Blade Whisperer,"On hit w/ martial enc. Or daily, +1 shift, after assoc. power can shift 2 and hide using Stealth",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Moradin's Forge Student,Assoc. power hit: enemy takes -1 to saves,MP2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Moradin's Forge Champion,"+2 to defenses against immobilize, restrain, slow, assoc. power can be used for Combat Challenge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Moradin's Forge Marshal,"+2 to defenses against immobilize, restrain, slow, assoc. power can be used for opp. Attack",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Thunder Student,Assoc. power can attack Fort instead of AC,MP2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Mountain Thunder Avalanche,"On martial power hit, -2 saves against against daze/stun, assoc. power can be used for opp. Attack",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Thunder Conqueror,"On martial power hit, -2 saves against against daze/stun, assoc. power knocks prone",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Thunder Crasher,"On martial power hit, -2 saves against against daze/stun, assoc. power is rattling",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Thunder Rampart,"On martial power hit, -2 saves against against daze/stun, assoc. power is invigorating",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Nerathan High Blade Student,Assoc. power: +1 damage for each adjacent enemy,MP2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Nerathan High Blade Captain,"Adj. enemies do not get +2 for CA, assoc. power can be used for opp. Attack",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Nerathan High Blade Duelist,"Adj. enemies do not get +2 for CA, assoc. power can use Dex instead of Str",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Nerathan High Blade Soldier,"Adj. enemies do not get +2 for CA, assoc. power can be used for Combat Challenge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Ninth Legion Student,"If using shield, can use assoc. power as opp. Attack",MP2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ninth Legion Shield,"Adj. allies gain +2 AC/Reflex against adj. enemies, assoc. power can be used for Combat Challenge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Ninth Legion Commander,"Adj. allies gain +2 AC/Reflex against adj. enemies, assoc. power can be used for opp. Attack",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Ogremight Student,Assoc. power hit: enemy takes -1 to all defenses,MP2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Ogremight Bruiser,"On charge, crit on 19-20, assoc. power can be used on charge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Ogremight Ravager,"On charge, crit on 19-20, assoc. power can be used on charge",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Partisan Polearm Student,"On crit w/ assoc. power, knock prone",MP2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Partisan Polearm Infantry,"Gain CA against any enemy you push, assoc. power can be used on charge",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Partisan Polearm Captain,"Gain CA against any enemy you push, assoc. power can push 2",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Reaving Axe Student,On hit on unbloodied enemy w/ assoc. power: 0 damage if enemy moves more than 2,MP2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Reaving Axe Brute,"On crit, knock prone and provokes when standing, can use assoc. power on opp. Attack",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Reaving Axe Slayer,"On crit, knock prone and provokes when standing, can use Str instead of Dex for opp. Attack",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Reaving Axe Tyrant,"On crit, knock prone and provokes when standing, assoc. power ranged",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Red Cloak Student,"On assoc. power use on CA, gain +1 AC/Reflex",MP2,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Red Cloak Rake,"On crit, enemy grants CA to you, assoc. power can be used on opp. Attack",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Red Cloak Tough,"On crit, mark each adj. enemy, assoc. power can be used on opp. Attack",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Rending Chains Student,On hit w/ assoc. power: slide enemy 1 adj. to you,MP2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
Rending Chains Grappler,"On martial power hit, enemy takes 0 damage on shift,assoc. power slows",MP2,,,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Rending Chains Flayer,"On martial power hit, enemy takes 0 damage on shift, can use Dex instead of Str on assoc. power",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Rending Chains Warmaster,"On martial power hit, enemy takes 0 damage on shift, can use assoc. power as melee basic",MP2,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Silent Shot Student,"On assoc. power hit when hidden, deal extra 0 damage",MP2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Silent Shot Hunter,"On hit w/ martial power, -2 Perception, assoc. power can shift 2 before",MP2,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Silent Shot Phantom,"On hit w/ martial power, -2 Perception, assoc. power can shift 2 and hide w/ Stealth",MP2,,,,,,,,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Steel Vanguard Student,Assoc. power can crit on 19-20,MP2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
