Implement,Level,Book,Bonus,Type,Superior Feat,SI Prop 1,SI Prop 2,Energized Type,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Speed,Initiative,Surges,Surge Val,Fortitude,Reflex,Will,AC,Strength,Dexterity,Wisdom,Ranged,Melee
Symbol of Divine Light,17,AV2,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Divine Reach,3,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Divinity,2,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Excellence,2,DRMZ,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Fire and Fury,9,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Foe Turning,7,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Freedom,7,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Gajz,7,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Good Fortune,2,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Hope,3,PHB,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Life,2,PHB,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Lifebonding,12,AV,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Mortality,4,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Penitence,9,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Perserverance,7,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Power,7,PHB,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Prayers Recovered,18,AV2,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Protection,18,AV2,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Radiance,23,PHB,5,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Radiant Vengeance,25,AV,5,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Reflection,24,AV2,5,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Renewal,15,AV,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Reproach,2,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Resilience,2,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Revivication,30,AV,6,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Sacrifice,18,AV,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Scorned Fate,5,DRMZ,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Security,13,MOTP,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Shared Healing,7,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Shielding,7,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Sustenance,17,AV,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the Champion's Code,8,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the Deep,9,DRMZ,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the Dragon,3,DRMZ,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the First Spirits,2,AV2,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the Forgotten One,17,AV2,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the Holy Nimbus,4,AV2,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the Radiant Flame,8,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of the Warpriest,15,AV,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Turning,4,DRMZ,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Unified Defense,9,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Vengeance,4,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Victory,9,PHB,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Vigor,7,AV2,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanathriel Staff,2,DRMZ,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempest Staff,15,AV2,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder Wand,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderfist Ki Focus,4,PsP,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderwave staff,8,PHB,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeless Tome,29,AP,6,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome of Arrest,4,AP,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome of Crushing Force,9,AV2,2,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome of Enduring Creation,14,AV2,3,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome of Forty Steps,3,AP,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome of Striking Lightning,4,AV2,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome of the North Wind,3,AP,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome of the Replenishing Flame,2,AP,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torch of Misery,10,AV2,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of Ashen Fury,7,DSCS,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of Enduring Vigilance,9,EPG,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of Nature's Balm,10,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of New Beginnings,14,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Awakened Bear,13,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Crashing Tide,15,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Dancing Leaf,15,DRMZ,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Flensing Sands,10,DSCS,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Harrier's Claws,12,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Night,12,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Ravenous Beast,9,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Satyr's Dance,8,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Scouring Wind,15,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the Severed Eye,9,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of the World Tree,20,AV2,4,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of Thunder's Keeper,2,AV2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of Unleashed Flames,4,DSCS,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem of Winter's Scorn,9,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic Tome,24,AV2,5,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcendent Ki Focus,1,PsP,1,Focus,#REF!,Blinking,Reaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspeakable Tome,1,PHB3,1,Tome,#REF!,Empowered Crit,Undeniable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Staff,2,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vengeful Spirit Totem,8,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdant Staff,2,AV2,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicious Rod,3,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vistani Buzuq,7,DRMZ,2,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vistani Tambourine,2,DRMZ,1,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vistani Violin,12,DRMZ,3,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wailing Tome,5,DRMZ,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Allure,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Aptitude,10,AV2,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Cold,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Eldritch Rain,8,PHB,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Erupting Flame,15,AV,3,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Fiery Bolt,8,PHB,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Fire Burst,13,PHB,3,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Icy Rays,8,PHB,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Psychic Ravaging,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Radiance,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Ray of Enfeeblement,3,PHB,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Shield,8,PHB,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Soul Flaying,18,PHB,4,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Swarming Force,3,AV,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of the Hunting Hound,3,HFL,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Thunderous Anguish,14,AV2,3,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand of Witchfire,3,PHB,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warding Symbol,3,PHB3,1,Symbol,#REF!,Shielding,Unstoppable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watchful Spirit Totem,3,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
White Orb of Dragonkind,14,DRMZ,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildfire Totem,4,AV2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsoul Ki Focus,3,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter's Grasp Totem,4,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter's Heart Totem,7,EPG,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winterwood Totem,4,AV2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrathful Symbol,4,PHB2,1,Symbol,#REF!,Empowered Crit,Undeniable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
