Name,Type,Class,Level,kind,,,,,,,
Exorcism of Steel,Encounter,Fighter,17,attack,,,,,,,
Expeditious Stride,Encounter,Ranger,10,utility,,,,,,,
Explosive Pire,Encounter,Sorcerer,1,attack,,,,,,,
Explosive Wind,Encounter,Druid,27,attack,,,,,,,
Expose Weakness,Encounter,Druid,13,attack,,,,,,,
Eye of Justice,Encounter,Avenger,10,utility,,,,,,,
Eyes of the Hawk,Encounter,Warden,2,utility,,,,,,,
Fangs of Steel,Encounter,Fighter,23,attack,,,,,,,
Fast Friends,Encounter,Bard,1,attack,,,,,,,
Fatal Strike,Encounter,Barbarian,23,attack,,,,,,,
Fate Weaver's Shield,Encounter,Shaman,16,utility,,,,,,,
Fearsome Smite,Encounter,Paladin,1,attack,,,,,,,
Feast of Fury,Encounter,Druid,7,attack,,,,,,,
Feast of Violence,Encounter,Barbarian,7,attack,,,,,,,
Feral Scythe,Encounter,Barbarian,23,attack,,,,,,,
Feral Whirlwind,Encounter,Druid,27,attack,,,,,,,
Fey Switch,Encounter,Warlock,6,utility,,,,,,,
Feywild Sojourn,Encounter,Druid,10,utility,,,,,,,
Fiery Bolt,Encounter,Warlock,3,attack,,,,,,,
Fiery Infusion,Encounter,Artificer,3,attack,,,,,,,
Fire Burst,Encounter,Wizard,7,attack,,,,,,,
Fire Shroud,Encounter,Wizard,3,attack,,,,,,,
Flame Cyclone,Encounter,Swordmage,1,attack,,,,,,,
Flame Spiral,Encounter,Sorcerer,3,attack,,,,,,,
Flickering Venom,Encounter,Warlock,1,attack,,,,,,,
Foolhardy Fighting,Encounter,Bard,13,attack,,,,,,,
Fool's Oppertunity,Encounter,Rogue,13,attack,,,,,,,
Force Orb,Encounter,Wizard,1,attack,,,,,,,
Force Volley,Encounter,Wizard,17,attack,,,,,,,
Forcecage,Encounter,Wizard,27,attack,,,,,,,
Forceful Missile,Encounter,Artificer,13,attack,,,,,,,
Fortifying Smite,Encounter,Paladin,17,attack,,,,,,,
Four-Winds Bad,Encounter,Artificer,22,utility,,,,,,,
Fox's Cunning,Encounter,Ranger,1,attack,,,,,,,
Frigid Darkness,Encounter,Warlock,3,attack,,,,,,,
Frost Flash,Encounter,Druid,1,attack,,,,,,,
Frostbind,Encounter,Sorcerer,1,attack,,,,,,,
Frostburn,Encounter,Wizard,13,attack,,,,,,,
Fuel the Fire,Encounter,Barbarian,16,utility,,,,,,,
Fury of the Sirocco,Encounter,Warlord,13,attack,,,,,,,
Gale-Force Infusion,Encounter,Artificer,7,attack,,,,,,,
Get Over Here,Encounter,Fighter,2,utility,,,,,,,
Giant's Wake,Encounter,Fighter,13,attack,,,,,,,
Glyph of Imprisonment,Encounter,Invoker,3,attack,,,,,,,
Glyph of Radiance,Encounter,Invoker,17,attack,,,,,,,
Glyph of Three Blades,Encounter,Invoker,17,attack,,,,,,,
Grasping Earth,Encounter,Druid,23,attack,,,,,,,
Grasping Shadows,Encounter,Wizard,1,attack,,,,,,,
Grave-Dust Cloud,Encounter,Artificer,27,attack,,,,,,,
Great Cleave,Encounter,Barbarian,1,attack,,,,,,,
Great Dragon War Cry,Encounter,Warlord,23,attack,,,,,,,
Great Shout,Encounter,Barbarian,7,attack,,,,,,,
Griffon's Wrath,Encounter,Fighter,7,attack,,,,,,,
Guardian's Storm,Encounter,Warden,27,attack,,,,,,,
Guardian's Wrath,Encounter,Warden,23,attack,,,,,,,
Guarding Attack,Encounter,Warlord,1,attack,,,,,,,
Guide the Charge,Encounter,Warlord,6,utility,,,,,,,
Hack 'n' Slash,Encounter,Fighter,23,attack,,,,,,,
Hail of Arrows,Encounter,Ranger,27,attack,,,,,,,
Hail of Steel,Encounter,Warlord,17,attack,,,,,,,
Halo of Fire,Encounter,Avenger,3,attack,,,,,,,
Hammer and Anvil,Encounter,Warlord,1,attack,,,,,,,
Hammer Fall,Encounter,Barbarian,3,attack,,,,,,,
Hammer Shot,Encounter,Ranger,23,attack,,,,,,,
Hand of the Gods,Encounter,Paladin,17,attack,,,,,,,
Harmony of the Two,Encounter,Bard,13,attack,,,,,,,
Harrowstrom,Encounter,Warlock,13,attack,,,,,,,
Harrying Assault,Encounter,Fighter,17,attack,,,,,,,
Haunting Strike,Encounter,Cleric,23,attack,,,,,,,
Hawk's Talon,Encounter,Ranger,7,attack,,,,,,,
Healing Strike,Encounter,Cleric,1,attack,,,,,,,
Healing Torch,Encounter,Cleric,23,attack,,,,,,,
Hellfire Curse,Encounter,Warlock,27,attack,,,,,,,
Here Waits Thy Doom,Encounter,Paladin,23,attack,,,,,,,
Hide in Plain Sight,Encounter,Rogue,16,utility,,,,,,,
Hold the Line,Encounter,Warlord,3,attack,,,,,,,
Hounding Strike,Encounter,Rogue,17,attack,,,,,,,
Howl of Doom,Encounter,Warlock,7,attack,,,,,,,
Howling Gust,Encounter,Shaman,13,attack,,,,,,,
Hungry Earth,Encounter,Warden,1,attack,,,,,,,
Hurricane of Blades,Encounter,Barbarian,27,attack,,,,,,,
Hurricane of Blood,Encounter,Rogue,27,attack,,,,,,,
Ice Dragon's Teeth,Encounter,Sorcerer,3,attack,,,,,,,
Ice Tomb,Encounter,Wizard,17,attack,,,,,,,
Icy Rays,Encounter,Wizard,3,attack,,,,,,,
Icy Shards,Encounter,Warden,13,attack,,,,,,,
Icy Terrain,Encounter,Wizard,1,attack,,,,,,,
Ignoreable Escape,Encounter,Rogue,6,utility,,,,,,,
Illusory Erasure,Encounter,Bard,10,utility,,,,,,,
Impelling Force,Encounter,Bard,3,attack,,,,,,,
Imperiling Strik,Encounter,Rogue,7,attack,,,,,,,
Incite Heroism,Encounter,Warlord,27,attack,,,,,,,
Indomitable Battle Strike,Encounter,Fighter,27,attack,,,,,,,
Inevitable End,Encounter,Avenger,27,attack,,,,,,,
Inexorable Pursuit,Encounter,Avenger,7,attack,,,,,,,
Infernal Moon Curse,Encounter,Warlock,7,attack,,,,,,,
Infuriating Elusiveness,Encounter,warlock,16,utility,,,,,,,
Inspire Competence,Encounter,Bard,2,utility,,,,,,,
Inspiring Reaction,Encounter,Warlord,6,utility,,,,,,,
Inspiring Refrain,Encounter,Bard,1,attack,,,,,,,
Inspiring Strike,Encounter,Cleric,13,attack,,,,,,,
Inspiring War Cry,Encounter,Warlord,3,attack,,,,,,,
Interposing Shield,Encounter,Fighter,16,utility,,,,,,,
Into the Fray,Encounter,Fighter,10,utility,,,,,,,
Invigorating Smite,Encounter,Paladin,3,attack,,,,,,,
Invisible Troupe,Encounter,Bard,22,utility,,,,,,,
Invoke Obedience,Encounter,Invoker,7,attack,,,,,,,
Invoke Terror,Encounter,Invoker,27,attack,,,,,,,
Iron Bulwark,Encounter,Fighter,7,attack,,,,,,,
Iron Chains,Encounter,Sorcerer,23,attack,,,,,,,
Ironhide Infusion,Encounter,Artificer,16,utility,,,,,,,
Jaws of the Earth,Encounter,Sorcerer,13,attack,,,,,,,
Jump,Encounter,Wizard,2,utility,,,,,,,
Kaleidoscopic Burst,Encounter,Bard,27,attack,,,,,,,
King's Castle,Encounter,Rogue,1,attack,,,,,,,
Knave's Gambit,Encounter,Rogue,23,attack,,,,,,,
Knight's Move,Encounter,Warlord,2,utility,,,,,,,
Knockdown Shot,Encounter,Ranger,13,attack,,,,,,,
Latch On,Encounter,Druid,7,attack,,,,,,,
Leaf on the Wind,Encounter,Warlord,1,attack,,,,,,,
Leaping Dodge,Encounter,Rogue,16,utility,,,,,,,
Leaping Rake,Encounter,Druid,27,attack,,,,,,,
Light of the Avenging Sun,Encounter,Avenger,13,attack,,,,,,,
Lightning Bolt,Encounter,Wizard,7,attack,,,,,,,
Lightning Cascade,Encounter,Druid,17,attack,,,,,,,
Lightning Eruption,Encounter,Sorcerer,27,attack,,,,,,,
Lightning Panther Spirit,Encounter,Shaman,3,attack,,,,,,,
Lightning Shot,Encounter,Ranger,27,attack,,,,,,,
Lion's Roar,Encounter,Warlord,7,attack,,,,,,,
Living Caltrop Swarm,Encounter,Artificer,27,attack,,,,,,,
Loss of Will,Encounter,Barbarian,6,utility,,,,,,,
Manticore's Volley,Encounter,Ranger,23,attack,,,,,,,
Mantle of Glory,Encounter,Cleric,13,attack,,,,,,,
Martyr's Smite,Encounter,Paladin,23,attack,,,,,,,
Masks of Menace,Encounter,Bard,17,attack,,,,,,,
Master of Deceit,Encounter,Rogue,2,utility,,,,,,,
Maze of Mirrors,Encounter,Wizard,3,attack,,,,,,,
Mesmeric Hold,Encounter,Wizard,13,attack,,,,,,,
Mind Hammer,Encounter,Sorcerer,13,attack,,,,,,,
Mire the Mind,Encounter,Warlock,7,attack,,,,,,,
Mob Mentality,Encounter,Rogue,6,utility,,,,,,,
Mountain Breaking Blow,Encounter,Fighter,17,attack,,,,,,,
Mountain Grasp,Encounter,Barbarian,17,attack,,,,,,,
Mountain Hammer,Encounter,Warden,7,attack,,,,,,,
Mountain Lion Step,Encounter,Warden,2,utility,,,,,,,
Narrow Escape,Encounter,Sorcerer,10,utility,,,,,,,
Nature's Ally,Encounter,Warden,23,attack,,,,,,,
Nimble Defense,Encounter,Ranger,13,attack,,,,,,,
No Opening,Encounter,Fighter,2,utility,,,,,,,
Ode to Sacrifice,Encounter,Bard,6,utility,,,,,,,
Offering of Justice,Encounter,Invoker,3,attack,,,,,,,
Offering of Peace,Encounter,Invoker,27,attack,,,,,,,
Otherwind Stride,Encounter,Warlock,3,attack,,,,,,,
Paralyzing Strike,Encounter,Fighter,23,attack,,,,,,,
Passing Attack,Encounter,fighter,1,attack,,,,,,,
Perfect Strike,Encounter,Rogue,27,attack,,,,,,,
Phase Duel,Encounter,Avenger,23,attack,,,,,,,
Piercing Smite,Encounter,Paladin,1,attack,,,,,,,
Pillar of Guardian Flame,Encounter,Invoker,13,attack,,,,,,,
Pillar to Post,Encounter,Warlord,23,attack,,,,,,,
Pining Strike,Encounter,Ranger,13,attack,,,,,,,
Plague of Doom,Encounter,Cleric,13,attack,,,,,,,
Plates of Ice,Encounter,Sorcerer,23,attack,,,,,,,
Poison Ward,Encounter,Sorcerer,27,attack,,,,,,,
Poisonous Evation,Encounter,Sorcerer,17,attack,,,,,,,
Poisonous Exhalation,Encounter,Sorcerer,3,attack,,,,,,,
Polar Blast,Encounter,Druid,27,attack,,,,,,,
Ponderous Strike,Encounter,Warden,13,attack,,,,,,,
Positioning Strike,Encounter,Rogue,1,attack,,,,,,,
Precise Strike,Encounter,Fighter,3,attack,,,,,,,
Predator's Flurry,Encounter,Druid,3,attack,,,,,,,
Predatory Guardian,Encounter,Warden,3,attack,,,,,,,
Primal Gust,Encounter,Shaman,10,utility,,,,,,,
Primal Leap,Encounter,Warden,16,utility,,,,,,,
Primal Roar,Encounter,Druid,23,attack,,,,,,,
Prismatic Burst,Encounter,Wizard,13,attack,,,,,,,
Prismatic Shot,Encounter,Artificer,23,attack,,,,,,,
Punishing Strike,Encounter,Cleric,27,attack,,,,,,,
Quick Fingers,Encounter,Rogue,2,utility,,,,,,,
Rabbits and Wolves,Encounter,Warlord,23,attack,,,,,,,
Radiant Charge,Encounter,Paladin,13,attack,,,,,,,
Radiant Smite,Encounter,Paladin,1,attack,,,,,,,
Rain of Blows,Encounter,Fighter,3,attack,,,,,,,
Rampaging Dragon Strike,Encounter,Barbarian,27,attack,,,,,,,
Ray of Enfeeblement,Encounter,Wizard,1,attack,,,,,,,
Razorleaf Cut,Encounter,Warden,17,attack,,,,,,,
Ready the Final Blow,Encounter,Avenger,17,attack,,,,,,,
Reckless Strike,Encounter,Fighter,7,attack,,,,,,,
Refocus Enmity,Encounter,Avenger,2,utility,,,,,,,
Renewing Smite,Encounter,Paladin,13,attack,,,,,,,
Resonant Escape,Encounter,Avenger,2,utility,,,,,,,
Resounding Smite,Encounter,Paladin,23,attack,,,,,,,
Restricting Smite,Encounter,Paladin,27,attack,,,,,,,
Rhythm of Disorientation,Encounter,Bard,23,attack,,,,,,,
Righteous Smite,Encounter,Paladin,3,attack,,,,,,,
Rimefire Spirit,Encounter,Shaman,3,attack,,,,,,,
Rimestorm,Encounter,Sorcerer,7,attack,,,,,,,
Roots of Rescue,Encounter,Druid,10,utility,,,,,,,
Rouge's Luck,Encounter,Rogue,7,attack,,,,,,,
Runic Resistance,Encounter,Artificer,7,attack,,,,,,,
Sacrificial Healing,Encounter,Cleric,27,attack,,,,,,,
Safe Stride,Encounter,Ranger,22,utility,,,,,,,
Sanctuary,Encounter,Cleric,2,utility,,,,,,,
Sand in the Eye,Encounter,Rogue,7,attack,,,,,,,
Scatter to the Astral Winds,Encounter,Avenger,27,attack,,,,,,,
Scavenger's Price,Encounter,Druid,17,attack,,,,,,,
Scorpion Strike,Encounter,Rogue,23,attack,,,,,,,
Scorpion's Claw Strike,Encounter,Bard,7,attack,,,,,,,
Scourge of the unworthy,Encounter,Cleric,27,attack,,,,,,,
Screaming Wind Strike,Encounter,Warden,27,attack,,,,,,,
Seal of the Heretic,Encounter,Invoker,13,attack,,,,,,,
Searing Light,Encounter,Cleric,7,attack,,,,,,,
Sentinel Strike,Encounter,Cleric,17,attack,,,,,,,
Sequestering Strike,Encounter,Avenger,3,attack,,,,,,,
Sequestering Word,Encounter,Avenger,13,attack,,,,,,,
Setup Strike,Encounter,Rogue,3,attack,,,,,,,
Shackles of the Mountain,Encounter,Shaman,17,attack,,,,,,,
Shadow Veil,Encounter,Warlock,2,utility,,,,,,,
Shadow Wasp Strike,Encounter,Ranger,3,attack,,,,,,,
Shake It Off,Encounter,Warlord,2,utility,,,,,,,
Shared Madness,Encounter,Avenger,1,attack,,,,,,,
Shatterbone Strike,Encounter,Barbarian,3,attack,,,,,,,
Shield,Encounter,Wizard,2,utility,,,,,,,
Shield of Justice,Encounter,Invoker,16,utility,,,,,,,
Shield of Light,Encounter,Invoker,6,utility,,,,,,,
Shielding Cube,Encounter,Artificer,1,attack,,,,,,,
Shielding Smite,Encounter,Paladin,1,attack,,,,,,,
Shielding Word,Encounter,Cleric,10,utility,,,,,,,
Shifting Rake,Encounter,Druid,17,attack,,,,,,,
Shock Sphere,Encounter,Wizard,3,attack,,,,,,,
Shoulder Slam,Encounter,Barbarian,17,attack,,,,,,,
Shout,Encounter,Sorcerer,7,attack,,,,,,,
Shout of Evasion,Encounter,Bard,17,attack,,,,,,,
Shout of Triumph,Encounter,Bard,1,attack,,,,,,,
Shroud of Awe,Encounter,Invoker,2,utility,,,,,,,
Sign of Ill Omen,Encounter,Warlock,7,attack,,,,,,,
Silverstep,Encounter,Fighter,13,attack,,,,,,,
Skipping Shot,Encounter,Artificer,17,attack,,,,,,,
Skullcrusher,Encounter,Fighter,23,attack,,,,,,,
Slick Concoction,Encounter,Artificer,10,utility,,,,,,,
Slippery Mind,Encounter,Rogue,6,utility,,,,,,,
Song of Conquest,Encounter,Bard,6,utility,,,,,,,
Song of Liberation,Encounter,Bard,23,attack,,,,,,,
Song of Recovery,Encounter,Bard,10,utility,,,,,,,
Song of Storms,Encounter,Bard,13,attack,,,,,,,
Song of Summons,Encounter,Bard,17,attack,,,,,,,
Soul Flaying,Encounter,Warlock,13,attack,,,,,,,
Spear of the Inquisitor,Encounter,Invoker,1,attack,,,,,,,
Spectral Charge,Encounter,Avenger,17,attack,,,,,,,
Spectral Claw,Encounter,Sorcerer,3,attack,,,,,,,
Spectral Ram,Encounter,Wizard,7,attack,,,,,,,
Spider Climb,Encounter,Warlock,6,utility,,,,,,,
Spike Wire,Encounter,Artificer,1,attack,,,,,,,
Spikes of the Manticore,Encounter,Ranger,7,attack,,,,,,,
Spinning Sweep,Encounter,fighter,1,attack,,,,,,,
Spirit Binding,Encounter,Shaman,16,utility,,,,,,,
Spirit Bond of Vengeance,Encounter,Shaman,17,attack,,,,,,,
Spirit Call,Encounter,Shaman,2,utility,,,,,,,
Spirit of Cleansing Light,Encounter,Shaman,13,attack,,,,,,,
Spirit of Elder Wisdom,Encounter,Shaman,27,attack,,,,,,,
Spirit of Spring's Renewal,Encounter,Shaman,17,attack,,,,,,,
Spirit of the Death Raven,Encounter,Shaman,23,attack,,,,,,,
Spiteful Darts,Encounter,Warlock,23,attack,,,,,,,
Splinter the Formation,Encounter,Avenger,7,attack,,,,,,,
Split the Sky,Encounter,Cleric,3,attack,,,,,,,
Spring Renewal Strike,Encounter,Shaman,3,attack,,,,,,,
Stab and Grab,Encounter,Rogue,17,attack,,,,,,,
Staggering Smite,Encounter,Paladin,3,attack,,,,,,,
Staggering Strike,Encounter,Barbarian,23,attack,,,,,,,
Stalker's Positioning,Encounter,Warden,7,attack,,,,,,,
Startling Savagery,Encounter,Warden,23,attack,,,,,,,
Steel Entrapment,Encounter,Rogue,23,attack,,,,,,,
Steel Monsoon,Encounter,Warlord,3,attack,,,,,,,
Steel Serpent Strike,Encounter,fighter,1,attack,,,,,,,
Stonebreaker,Encounter,Barbarian,2,utility,,,,,,,
Storm of Blades,Encounter,Barbarian,13,attack,,,,,,,
Storm of Blows,Encounter,Fighter,13,attack,,,,,,,
Storm of Celestia,Encounter,Invoker,23,attack,,,,,,,
Stormbust,Encounter,Druid,23,attack,,,,,,,
Strand of Fate,Encounter,Warlock,17,attack,,,,,,,
Strength of the Hunt,Encounter,Druid,23,attack,,,,,,,
Strengthen the Faithful,Encounter,Cleric,7,attack,,,,,,,
Stretch Spell,Encounter,Sorcerer,2,utility,,,,,,,
Stunning Smite,Encounter,Paladin,27,attack,,,,,,,
Stunning Strike,Encounter,Rogue,13,attack,,,,,,,
Sublime Transposition,Encounter,Paladin,23,attack,,,,,,,
Sudden Assault,Encounter,Warlord,23,attack,,,,,,,
Sudden Restoration,Encounter,Shaman,6,utility,,,,,,,
Sudden Scales,Encounter,Sorcerer,6,utility,,,,,,,
Sudden Surge,Encounter,Fighter,7,attack,,,,,,,
Sun Hammer,Encounter,Invoker,3,attack,,,,,,,
Sunburst,Encounter,Cleric,27,attack,,,,,,,
Sunburst Strike,Encounter,Warden,13,attack,,,,,,,
Sunder Armor,Encounter,Warlord,7,attack,,,,,,,
Surge of Valo,Encounter,Bard,27,attack,,,,,,,
Surprise Attack,Encounter,Warlord,7,attack,,,,,,,
Surprise Step,Encounter,Fighter,16,utility,,,,,,,
Surround Foe,Encounter,Warlord,7,attack,,,,,,,
Swarm of Astral Steel,Encounter,Invoker,27,attack,,,,,,,
Sweeping Blow,Encounter,Fighter,3,attack,,,,,,,
Sweeping Whirlwind,Encounter,Ranger,7,attack,,,,,,,
Swift Escape,Encounter,Sorcerer,6,utility,,,,,,,
Swirling Winds,Encounter,Druid,7,attack,,,,,,,
Talon of the Roc,Encounter,Fighter,13,attack,,,,,,,
Tempest Breath,Encounter,Sorcerer,1,attack,,,,,,,
Terrifying Smite,Encounter,Paladin,17,attack,,,,,,,
Terror's Cry,Encounter,Barbarian,13,attack,,,,,,,
Thirsting Tendrils,Encounter,Warlock,17,attack,,,,,,,
Thorn Burst,Encounter,Warden,7,attack,,,,,,,
Thorns of Venom,Encounter,Warlock,23,attack,,,,,,,
Threatening Fury,Encounter,Barbarian,17,attack,,,,,,,
Thunder Bear's Warding,Encounter,Shaman,1,attack,,,,,,,
Thunder Breath,Encounter,Sorcerer,13,attack,,,,,,,
Thunder Crash,Encounter,Druid,13,attack,,,,,,,
Thunder of Judgment,Encounter,Invoker,1,attack,,,,,,,
Thunder Pulse,Encounter,Sorcerer,27,attack,,,,,,,
Thunder Ram Assault,Encounter,Warden,1,attack,,,,,,,
Thunder Slam,Encounter,Sorcerer,1,attack,,,,,,,
Thunder Smite,Encounter,Paladin,7,attack,,,,,,,
Thunder Summons,Encounter,Sorcerer,17,attack,,,,,,,
Thunderbolt of the Heavens,Encounter,Invoker,7,attack,,,,,,,
Thunderclap,Encounter,Wizard,23,attack,,,,,,,
Thunderfall,Encounter,Barbarian,13,attack,,,,,,,
Thundering Strike,Encounter,Warden,3,attack,,,,,,,
Thunderlance,Encounter,Wizard,13,attack,,,,,,,
Thunderous Fury,Encounter,Warlord,17,attack,,,,,,,
Thunderstorm Spirit,Encounter,Shaman,7,attack,,,,,,,
Thundertusk Boar Strike,Encounter,Ranger,3,attack,,,,,,,
Tidal Surge,Encounter,Druid,13,attack,,,,,,,
Tide of Blood,Encounter,Barbarian,7,attack,,,,,,,
Tiger's Leap,Encounter,Barbarian,2,utility,,,,,,,
Topple Over,Encounter,Rogue,3,attack,,,,,,,
Tornado Strike,Encounter,Rogue,13,attack,,,,,,,
Torturous Strike,Encounter,Rogue,1,attack,,,,,,,
Transposing Lunge,Encounter,Swordmage,3,attack,,,,,,,
Tremor,Encounter,Druid,7,attack,,,,,,,
Trickster's Blade,Encounter,Rogue,3,attack,,,,,,,
Triple Shot,Encounter,Ranger,17,attack,,,,,,,
Tumble,Encounter,Rogue,2,utility,,,,,,,
Tunderous Word,Encounter,Cleric,17,attack,,,,,,,
Tundra Wind,Encounter,Druid,3,attack,,,,,,,
Twin Panthers,Encounter,Shaman,1,attack,,,,,,,
Twin Step,Encounter,Avenger,22,utility,,,,,,,
Twin Tempest Spirits,Encounter,Shaman,23,attack,,,,,,,
Twisting Vines,Encounter,Druid,1,attack,,,,,,,
Two-Fanged Strike,Encounter,Ranger,1,attack,,,,,,,
Two-Weapon Eviscerate,Encounter,Ranger,17,attack,,,,,,,
Unbalancing Attack,Encounter,Rogue,13,attack,,,,,,,
Unbalancing Parry,Encounter,Ranger,2,utility,,,,,,,
Unbreakable,Encounter,Fighter,6,utility,,,,,,,
Unluck,Encounter,Bard,7,attack,,,,,,,
Unseen Aid,Encounter,Sorcerer,2,utility,,,,,,,
Vampiric Embrace,Encounter,Warlock,1,attack,,,,,,,
Vault the Fallen,Encounter,Barbarian,1,attack,,,,,,,
Vigorous Strike,Encounter,Barbarian,17,attack,,,,,,,
Vindicating Flames,Encounter,Invoker,23,attack,,,,,,,
Vorpal Tornado,Encounter,Fighter,17,attack,,,,,,,
Wandering Tornado,Encounter,Ranger,27,attack,,,,,,,
Warding Blade,Encounter,Avenger,17,attack,,,,,,,
Warlock's Bargain,Encounter,Warlock,17,attack,,,,,,,
Warlord's Banner,Encounter,Warlord,16,utility,,,,,,,
Warlord's Doom,Encounter,Warlord,27,attack,,,,,,,
Warlord's Favor,Encounter,Warlord,1,attack,,,,,,,
Warlord's Rush,Encounter,Warlord,17,attack,,,,,,,
Warlord's Strike,Encounter,Warlord,3,attack,,,,,,,
Warrior's Challenge,Encounter,Fighter,17,attack,,,,,,,
Warrior's Urging,Encounter,Fighter,23,attack,,,,,,,
Weal and Woe,Encounter,Bard,23,attack,,,,,,,
Weave through the Fray,Encounter,Ranger,6,utility,,,,,,,
Weight of the Mountain,Encounter,Warden,27,attack,,,,,,,
Wellspring of Renewal,Encounter,Barbarian,10,utility,,,,,,,
Whirling Blades,Encounter,Avenger,13,attack,,,,,,,
Whirlwind Assault,Encounter,Warden,23,attack,,,,,,,
Whirlwind Charge,Encounter,Avenger,1,attack,,,,,,,
Whirlwind Smite,Encounter,Paladin,13,attack,,,,,,,
Wildblood Frenzy,Encounter,Warden,1,attack,,,,,,,
Wildfire Curse,Encounter,Sorcerer,27,attack,,,,,,,
Wind Shape,Encounter,Sorcerer,22,utility,,,,,,,
Windborne Step,Encounter,Warden,6,utility,,,,,,,
Winds of Celestia,Encounter,Invoker,13,attack,,,,,,,
Winds of the Astral Sea,Encounter,Avenger,16,utility,,,,,,,
Windstorm,Encounter,Druid,17,attack,,,,,,,
Winter Wind Spirit,Encounter,Shaman,7,attack,,,,,,,
Winter's Wrath,Encounter,Wizard,7,attack,,,,,,,
Witchfire,Encounter,Warlock,1,attack,,,,,,,
Word of Annihilation,Encounter,Invoker,27,attack,,,,,,,
Word of Rebuke,Encounter,Invoker,23,attack,,,,,,,
Word of Vulnerability,Encounter,Bard,17,attack,,,,,,,
Wrathful Thunder,Encounter,Cleric,1,attack,,,,,,,
Yield Ground,Encounter,Ranger,2,utility,,,,,,,
White Raven Formation,Utility,Warlord,16,utility,,,,,,,
