,,,
Power Name,Book,Class,Level
Corrosive Ruin,FR,Swordmage,3
Dimensional Vortex,AP,Swordmage,3
Dual Lightning Strike,AP,Swordmage,3
Incendiary Sword,FR,Swordmage,3
Shadow Snake Lunge,AP,Swordmage,3
Sloth Strike,FR,Swordmage,3
Transposing Lunge,FR,Swordmage,3
Unseen Gauntlet,AP,Swordmage,3
Dazing Rebuke,AP,Swordmage,7
Echoes of Sword Magic,DRMZ,Swordmage,7
Electrified Lash,FR,Swordmage,7
Evoker's Summoning,DRMZ,Swordmage,7
Flamewall Strike,FR,Swordmage,7
Isolating Slam,FR,Swordmage,7
Rejuvenating Strike,AP,Swordmage,7
Shatterblade,AP,Swordmage,7
Sleet Strike,FR,Swordmage,7
Spikes of Agony,FR,Swordmage,7
Thunderclap Strike,AP,Swordmage,7
Watchful Strike,AP,Swordmage,7
Acid Burst Blade,FR,Swordmage,13
Binding Light,AP,Swordmage,13
Dimensional Slash,FR,Swordmage,13
Enervating Challenge,DRMZ,Swordmage,13
Ensnaring Bolts,AP,Swordmage,13
Fist of Force,AP,Swordmage,13
Hypnotic Swordplay,AP,Swordmage,13
Seed of Fire,FR,Swordmage,13
Silverlight Strike,AP,Swordmage,13
Dazzling Display,AP,Swordmage,17
Elemental Detention,DRMZ,Swordmage,17
Firelasher's Lunge,AP,Swordmage,17
Ice Cage,FR,Swordmage,17
Necrotic Disruption,DRMZ,Swordmage,17
Snake Strike,AP,Swordmage,17
Spidersilk Slash,FR,Swordmage,17
Surprising Transposition,AP,Swordmage,17
Swordshock,FR,Swordmage,17
Thundering Vortex,AP,Swordmage,17
Acid Fountain,FR,Swordmage,23
Aegis Bolt,AP,Swordmage,23
Blink Assault,AP,Swordmage,23
Bravado Strike,AP,Swordmage,23
Calm the Flames,DRMZ,Swordmage,23
Freezing Swordburst,AP,Swordmage,23
Lightning Bolt Charge,AP,Swordmage,23
Meteor Strike,FR,Swordmage,23
Radiant Shield,AP,Swordmage,23
Thunder Riposte,FR,Swordmage,23
Circle of Devastation,FR,Swordmage,27
Dimensional Charge,FR,Swordmage,27
Maelstorm Blade,FR,Swordmage,27
Slash and Burn,AP,Swordmage,27
Steel Tempest,AP,Swordmage,27
Sword Chaser Assault,AP,Swordmage,27
Thundering Burst,AP,Swordmage,27
Wrath of the Artic Wind,AP,Swordmage,27
Earth Spikes,PHB2,Warden,1
Gale Strike,PP,Warden,1
Grasping Winds,PP,Warden,1
Hungry Earth,PHB2,Warden,1
Rending Fury,PP,Warden,1
Roots of Stone,PP,Warden,1
Stinging Nettles,DRMZ,Warden,1
Thunder Ram Assault,PHB2,Warden,1
Tremor Slam,DRMZ,Warden,1
Warden's Sacrifice,PP,Warden,1
Wildblood Frenzy,PHB2,Warden,1
Breath of Chaos,DRMZ,Warden,3
Burst of Earth Fury,PHB2,Warden,3
Earthgrasp Strike,PHB2,Warden,3
Guardian Shock Wave,PP,Warden,3
Predatory Guardian,PHB2,Warden,3
Pressing Attack,PP,Warden,3
Rough Strike,PP,Warden,3
Storm Throw,DRMZ,Warden,3
Strongskin Clash,PP,Warden,3
Thundering Strike,PHB2,Warden,3
Violent Bolt,PP,Warden,3
Angry Spirits,PP,Warden,7
Earth Gift,PHB2,Warden,7
Forge of Fire and Smoke,DRMZ,Warden,7
Guardian's Pounce,PP,Warden,7
Limbs of the Tree Spider,DRMZ,Warden,7
Mountain Hammer,PHB2,Warden,7
Mountain's Stature,PP,Warden,7
Sheltering Storm,PP,Warden,7
Stalker's Positioning,PHB2,Warden,7
Thorn Burst,PHB2,Warden,7
Winter's Claws,PP,Warden,7
Creeper's Grasp,PHB2,Warden,13
Drown in Mud,DRMZ,Warden,13
Erupting Vines,PP,Warden,13
Healing Harvest,PP,Warden,13
Icy Shards,PHB2,Warden,13
Mark of Talons,PP,Warden,13
Ponderous Strike,PHB2,Warden,13
Rumbling Doom,PP,Warden,13
Sacrificial Strike,PP,Warden,13
Stalactite Hook,DRMZ,Warden,13
Stormhowler's Strike,PP,Warden,13
Sunburst Strike,PHB2,Warden,13
Swarming Fey,DRMZ,Warden,13
Call Forth the Harvest,PHB2,Warden,17
Eager Vine Strike,PHB2,Warden,17
Earth Hold's Rebuke,PHB2,Warden,17
Flames of Life,PP,Warden,17
Leap of the Relentless Hunter,PP,Warden,17
Razorleaf Cut,PHB2,Warden,17
Reckless Ram Assault,DRMZ,Warden,17
Rough Advantage,PP,Warden,17
Thunderhead Strike,DRMZ,Warden,17
Warden's Lure,PP,Warden,17
Windy Assault,PP,Warden,17
Darkforest Vines,PP,Warden,23
Desert Winds,PP,Warden,23
Guardian's Wrath,PHB2,Warden,23
Nature's Ally,PHB2,Warden,23
Primal Rebuke,PP,Warden,23
Sky's Reach,PP,Warden,23
Snowy Grasp,PP,Warden,23
Startling Savagery,PHB2,Warden,23
Whirlwind Assault,PHB2,Warden,23
Wicked Flames,DRMZ,Warden,23
Blood of Nature's Foes,PP,Warden,27
Crimson Agony Tide,DRMZ,Warden,27
Earth Tomb,PHB2,Warden,27
Glacial Hammer,PP,Warden,27
Guardian's Storm,PHB2,Warden,27
Lightning Explosion,PP,Warden,27
Ravenous Earth,PP,Warden,27
Sacrificial Assault,PP,Warden,27
Screaming Wind Strike,PHB2,Warden,27
Strengthening Gift,PP,Warden,27
Weight of the Mountain,PHB2,Warden,27
Arms of Hadar,AP,Warlock,1
Chains of Levistus,AP,Warlock,1
Clarion Call,AP,Warlock,1
Cruel Bounty,DSCS,Warlock,1
Cursebite,FR,Warlock,1
Darkworm Feast,AP,Warlock,1
Diabolic Grasp,PHB,Warlock,1
Dreadful Word,PHB,Warlock,1
Flickering Venom,FR,Warlock,1
Glow of Ulban,DRMZ,Warlock,1
Grasp of the Iron Tower,DRMZ,Warlock,1
Life Bind,AP,Warlock,1
Sprite War Call,AP,Warlock,1
Vampiric Embrace,PHB,Warlock,1
Well of Light,DRMZ,Warlock,1
Wield the Warp,DRMZ,Warlock,1
Witchfire,PHB,Warlock,1
Cloud of Flies,AP,Warlock,3
Delban's Deadly Attention,AP,Warlock,3
Eldritch Rain,PHB,Warlock,3
Fiery Bolt,PHB,Warlock,3
Fortune Binding,AP,Warlock,3
Frigid Darkness,PHB,Warlock,3
Hands of Ihbar,DRMZ,Warlock,3
Lure of Minauros,DRMZ,Warlock,3
Otherwind Stride,PHB,Warlock,3
Pipes of Winter,AP,Warlock,3
Shared Agony,AP,Warlock,3
Sinister Extraction,DSCS,Warlock,3
Upsetting Onslaught,FR,Warlock,3
Vestiges' Calamity,AP,Warlock,3
Your Delicious Weakness,FR,Warlock,3
Acrid Decay,AP,Warlock,7
"All the Sand, All the Stars",AP,Warlock,7
Confounding Laughter,DRMZ,Warlock,7
Deathboon,FR,Warlock,7
Death's Commands,FR,Warlock,7
Far Realm Phantasm,DRMZ,Warlock,7
Gaze Into Nothing,DRMZ,Warlock,7
Hero's Arrow,AP,Warlock,7
Howl of Doom,PHB,Warlock,7
Infernal Moon Curse,PHB,Warlock,7
Influence of Acamar,DRMZ,Warlock,7
Mire of the Mind,PHB,Warlock,7
Moonlit Escape,DRMZ,Warlock,7
Mordant Rains of Dis,AP,Warlock,7
Nypacian Serpents,AP,Warlock,7
Pain to Pleasure,DRMZ,Warlock,7
Reflexive Hellstrike,HFK,Warlock,7
Shadow Strangler,AP,Warlock,7
Sign of Ill Omen,PHB,Warlock,7
Sorcerer King's Decree,DSCS,Warlock,7
Winter's Retributive Escape,HFK,Warlock,7
All Must Sacrifice,FR,Warlock,13
Bewitching Whispers,PHB,Warlock,13
Blaze of Ulban,DRMZ,Warlock,13
Break the Will,DSCS,Warlock,13
Coldfire Vortex,PHB,Warlock,13
Cursegrind,FR,Warlock,13
Dark Reach of Xevut,AP,Warlock,13
Harrowstorm,PHB,Warlock,13
Ice Blades of Levistus,DRMZ,Warlock,13
Killing Flames,AP,Warlock,13
Korred's Tune,AP,Warlock,13
Skirmisher's Volley,AP,Warlock,13
Soul Flaying,PHB,Warlock,13
Wraith's Shadow,AP,Warlock,13
Claws of the Magpie,AP,Warlock,17
Delban's Eye,DRMZ,Warlock,17
Despair of Zhudun,AP,Warlock,17
Devouring Death,AP,Warlock,17
Dire Portents of Malbolge,DRMZ,Warlock,17
Life Force Reclaimed,AP,Warlock,17
Obedience's Reward,DSCS,Warlock,17
Sea Tyrant's Fury,AP,Warlock,17
Strand of Fate,PHB,Warlock,17
Thirsting Tendrils,PHB,Warlock,17
Unholy Glee,FR,Warlock,17
Warlock's Bargain,PHB,Warlock,17
Your Delectable Pain,FR,Warlock,17
Arrow of Arcane Light,AP,Warlock,23
Awaken the Dragon,AP,Warlock,23
Blade of Vaquished Armies,FR,Warlock,23
Command of Execution,DSCS,Warlock,23
Dark Transport,PHB,Warlock,23
Dreadtheft,FR,Warlock,23
Maddening Whispers,AP,Warlock,23
Spiteful Darts,PHB,Warlock,23
Starless Void,DRMZ,Warlock,23
Swarm of Fangs,AP,Warlock,23
Thorns of Venom,PHB,Warlock,23
Web of Lies,DRMZ,Warlock,23
Banish to the Void,PHB,Warlock,27
Curse of the Fey King,PHB,Warlock,27
Envoy of Nihal,DRMZ,Warlock,27
Hellfire Curse,PHB,Warlock,27
Hellfire Fury,DRMZ,Warlock,27
Inevitable Undercut,FR,Warlock,27
Manipulating Thunderbolt,AP,Warlock,27
Price of Defiance,DSCS,Warlock,27
Shattering of the Sword,AP,Warlock,27
Soul of the Treant,AP,Warlock,27
Zutwa's Incandescence,AP,Warlock,27
Coordinated Offensive,DRMZ,Warlord,1
Diabolic Stratagem,DRMZ,Warlord,1
Guarding Attack,PHB,Warlord,1
Hammer and Anvil,PHB,Warlord,1
Hammer Formation,MP,Warlord,1
Leaf on the Wind,PHB,Warlord,1
Luring Focus,MP,Warlord,1
Myrmidon Formation,MP,Warlord,1
Nimble Footwork,MP,Warlord,1
Overwhelming Force Trap,DRMZ,Warlord,1
Pin Cushion,MP2,Warlord,1
Powerful Warning,MP2,Warlord,1
Provocative Order,DRMZ,Warlord,1
Race the Arrow,MP2,Warlord,1
Seize the Upper Hand,MP2,Warlord,1
Shielded Assault,MP2,Warlord,1
Tactician's Invitation,DRMZ,Warlord,1
Vengeance is Mine,MP2,Warlord,1
Warlord's Favor,PHB,Warlord,1
Battering Command,MP2,Warlord,3
Bloody Ending,MP,Warlord,3
Deadly Distraction,MP2,Warlord,3
Devastating Offensive,DRMZ,Warlord,3
Dicey Predicament,MP,Warlord,3
Flattening Charge,MP,Warlord,3
Follow Me In,MP,Warlord,3
Hold the Line,PHB,Warlord,3
Inspire Resilience,MP2,Warlord,3
Inspiring War Cry,PHB,Warlord,3
Interrupting Strike,DRMZ,Warlord,3
Martial Doom,DRMZ,Warlord,3
No Gambit is Wasted,MP2,Warlord,3
Road to Victory,DRMZ,Warlord,3
Set the Trap,DRMZ,Warlord,3
Shielding Retaliation,MP,Warlord,3
Staggering Shot,MP2,Warlord,3
Steel Monsoon,PHB,Warlord,3
Warlord's Strike,PHB,Warlord,3
Deadly Returns,MP,Warlord,7
Fierce Reply,MP2,Warlord,7
Friendly Fire,DRMZ,Warlord,7
General's Gift,MP2,Warlord,7
Join the Crowd,MP2,Warlord,7
Lion's Roar,PHB,Warlord,7
Martial Excitation,DRMZ,Warlord,7
On My Mark,MP2,Warlord,7
Phalanx Assault,MP,Warlord,7
Provoke Overextension,MP,Warlord,7
Sacrificial Lure,MP,Warlord,7
Stirring Force,MP,Warlord,7
Sudden Motivation,MP2,Warlord,7
Sunder Armor,PHB,Warlord,7
Surprise Attack,PHB,Warlord,7
Surround Foe,PHB,Warlord,7
Tactician's Favor,DRMZ,Warlord,7
Threatening Presence,DRMZ,Warlord,7
Together We Survive,MP2,Warlord,7
War of Attrition,MP,Warlord,7
Wild Runner Strike,DRMZ,Warlord,7
Withering Courage,DRMZ,Warlord,7
Beat Them into the Ground,PHB,Warlord,13
Befuddling Cry,MP,Warlord,13
Bolstering Blow,PHB,Warlord,13
Bolstering Insight,MP2,Warlord,13
Blade Burst Trap,DRMZ,Warlord,13
Death from Two Sides,MP2,Warlord,13
Defensive Offense,MP2,Warlord,13
Denying Smite,PHB,Warlord,13
Fearsome Thrust,DRMZ,Warlord,13
Fury of the Sirocco,PHB,Warlord,13
Grim Mark,MP,Warlord,13
Headstrong Bravery,MP,Warlord,13
Hope's Renewal,MP2,Warlord,13
Impromptu Attack,MP2,Warlord,13
Invitational Assault,DRMZ,Warlord,13
Malebranche's Pull,DRMZ,Warlord,13
Pincer Maneuver,MP,Warlord,13
Ruinous Assault,DRMZ,Warlord,13
Signal the Charge,MP2,Warlord,13
Unified in Blood,MP,Warlord,13
Vantured Gains,MP,Warlord,13
Withdrawal Gambit,MP,Warlord,13
Battle On,PHB,Warlord,17
Bloody Termination,MP,Warlord,17
Deadly Inspiration,MP,Warlord,17
Disabling Missile,MP2,Warlord,17
Forced Respect,MP2,Warlord,17
Girding Strike,MP,Warlord,17
Hail of Steel,PHB,Warlord,17
Into the Breach!,MP,Warlord,17
Pincer Shot,MP2,Warlord,17
Thunderous Fury,PHB,Warlord,17
Vanishing Forces,DRMZ,Warlord,17
Warlord's Rush,PHB,Warlord,17
We Will Not Fail,MP2,Warlord,17
Blood Begets Blood,MP,Warlord,23
Critical Misfire,DRMZ,Warlord,23
Daring Display,MP,Warlord,23
Defender's Retort,MP2,Warlord,23
Great Dragon War Cry,PHB,Warlord,23
Halting Missile,MP2,Warlord,23
Hold that Thought,MP2,Warlord,23
Pillar to Post,PHB,Warlord,23
Pit Fiend's Fury,DRMZ,Warlord,23
Quickening Force,MP,Warlord,23
Rabbits and Wolves,PHB,Warlord,23
Ringing Clarity,MP,Warlord,23
Shutdown Smite,MP,Warlord,23
Stunning Display,MP2,Warlord,23
Sudden Assault,PHB,Warlord,23
Wave of War,MP2,Warlord,23
Wounding Focus,MP,Warlord,23
A Plan Comes Together,DRMZ,Warlord,27
Abrupt Skirmish,MP,Warlord,27
Brutal Setup,MP,Warlord,27
Chimera Battlestrike,PHB,Warlord,27
Combined Arms Assault,MP2,Warlord,27
Devastating Charge,PHB,Warlord,27
Eye of the Storm,MP,Warlord,27
Incite Heroism,PHB,Warlord,27
Insightful Assault,MP2,Warlord,27
Raise the Bar,MP2,Warlord,27
Resourceful Triumph,MP2,Warlord,27
Uplifting Assault,MP,Warlord,27
Warlord's Doom,PHB,Warlord,27
Warlord's Indignation,MP,Warlord,27
Arcane Ghost,QB,Wizard,1
Astral Wasp,AP,Wizard,1
Burning Hands,PHB,Wizard,1
Charm of Misplaced Wrath,DRMZ,Wizard,1
Chill Strike,PHB,Wizard,1
Conduit of Ice,DRMZ,Wizard,1
Empowering Lightning,AP,Wizard,1
Flash of Light,QB,Wizard,1
Force Orb,PHB,Wizard,1
Gambit's Thunder,QB,Wizard,1
Grasping Shadows,AP,Wizard,1
Icy Terrain,PHB,Wizard,1
Illusory Obstacles,HFL,Wizard,1
Orbmaster's Incendiary Detonation,AP,Wizard,1
Ray of Enfeeblement,PHB,Wizard,1
Scorching Weapon,QB,Wizard,1
Skewering Spikes,DRMZ,Wizard,1
Sky Bolt,QB,Wizard,1
Staffstrike Corrosion,AP,Wizard,1
Acid Bomb,QB,Wizard,3
Arcane Bolt,DRMZ,Wizard,3
Blissful Ignorance,HFL,Wizard,3
Chill Claws,AP,Wizard,3
Cinderfall,DRMZ,Wizard,3
Color Spray,PHB,Wizard,3
Enchanted Crossbow,QB,Wizard,3
Fierce Will,QB,Wizard,3
Fire Shroud,PHB,Wizard,3
Hypnotic Pattern,AP,Wizard,3
Icy Rays,PHB,Wizard,3
Maze of Mirrors,AP,Wizard,3
Melting Pool,DRMZ,Wizard,3
Pinioning Vortex,AP,Wizard,3
Radiant Pillar,DRMZ,Wizard,3
Shock Bettle Swarm,AP,Wizard,3
Shock Sphere,PHB,Wizard,3
Charm of the Defender,HFL,Wizard,7
Choking Viper,QB,Wizard,7
Concussive Echo,AP,Wizard,7
Corrosive Mist,DRMZ,Wizard,7
Enemies Abound,AP,Wizard,7
Fire Burst,PHB,Wizard,7
Fire Sea Travel,DRMZ,Wizard,7
Lightning Bolt,PHB,Wizard,7
Mystical Swing,QB,Wizard,7
Phantom Foes,HFL,Wizard,7
Repelling Sphere,DRMZ,Wizard,7
Shadows of the Past,QB,Wizard,7
Spectral Ram,PHB,Wizard,7
Thunder Cage,DRMZ,Wizard,7
Tomebound Ooze,AP,Wizard,7
Twist of Space,AP,Wizard,7
Underground Eruption,QB,Wizard,7
Winter's Wrath,PHB,Wizard,7
Worms of Minauros,AP,Wizard,7
Acid Fumes,QB,Wizard,13
Arcane Chastisement,DRMZ,Wizard,13
Arcane Arrows,DRMZ,Wizard,13
Dancing Blades,QB,Wizard,13
Earth Brute,AP,Wizard,13
Entangling Force,AP,Wizard,13
Frostburn,PHB,Wizard,13
Hold Monster,HFL,Wizard,13
Illusory Assailant,AP,Wizard,13
Incineration,QB,Wizard,13
Mesmeric Hold,PHB,Wizard,13
Mirror Sphere,AP,Wizard,13
Orbmaster's Umbral Assault,AP,Wizard,13
Prismatic Burst,PHB,Wizard,13
Soul Vermin,QB,Wizard,13
Thunderlance,PHB,Wizard,13
Twisting Lightning,HFL,Wizard,13
Wake of Fire,DRMZ,Wizard,13
Charm of False Glory,DRMZ,Wizard,17
Combust,PHB,Wizard,17
Crushing Titan's Fist,PHB,Wizard,17
Dancing Bolts,AP,Wizard,17
Dancing Flames,HFL,Wizard,17
Exploding Bolts,QB,Wizard,17
Flensing,QB,Wizard,17
Force Volley,PHB,Wizard,17
Furnace of Sand,AP,Wizard,17
Gripping Chains,AP,Wizard,17
Ice Tomb,PHB,Wizard,17
Mass Charm,HFL,Wizard,17
Phantasmal Horror,AP,Wizard,17
Shard of the Endless Avalanche,AP,Wizard,17
Thunderous Transformation,DRMZ,Wizard,17
Wand Coupling,DRMZ,Wizard,17
Acid Storm,PHB,Wizard,23
Arcane Army,QB,Wizard,23
Arcane Volley,DRMZ,Wizard,23
Astral Claw,AP,Wizard,23
Chain Lightning,PHB,Wizard,23
Charm of False Heroism,HFL,Wizard,23
Crushing Necrotism,DRMZ,Wizard,23
Deceptive Shadows,AP,Wizard,23
Flaming Rebuke,DRMZ,Wizard,23
Freezing Bolts,AP,Wizard,23
Orbmaster's Insuperable Lethargy,AP,Wizard,23
Staffstrike Shock,AP,Wizard,23
Stalactites,QB,Wizard,23
Thunderclap,PHB,Wizard,23
Arcane Adder,QB,Wizard,27
Astral Tornado,QB,Wizard,27
Black Fire,PHB,Wizard,27
Charm of Puppet Strings,DRMZ,Wizard,27
Confusion,PHB,Wizard,27
Forcecage,PHB,Wizard,27
Icy Band,QB,Wizard,27
Lost in the Mists,AP,Wizard,27
Mind-Numbing Presence,DRMZ,Wizard,27
Orb of Doom,DRMZ,Wizard,27
Phantasmal Dread,HFL,Wizard,27
Sequestering Force,AP,Wizard,27
Soul Fire,AP,Wizard,27
Steal Time,AP,Wizard,27
Tomebound Bloodbeast,AP,Wizard,27
